id,title,categories,description,priceInfo,images,rating,availability,attributes
11,北海道産 天然本鮭切身,"[""鮮魚"", ""seafood""]",北海道で水揚げされた天然の本鮭を、丁寧に切り身にしました。ほどよい塩加減と上品な脂のりで、朝食の主役にぴったりです。,"{""currencyCode"": ""JPY"", ""price"": 880.0, ""originalPrice"": 880.0}","[{""uri"": ""https://images.unsplash.com/photo-1519708227418-c8fd9a32b7a2?w=600&auto=format&fit=crop&q=80""}]","{""averageRating"": 4.6, ""ratingCount"": 22}",IN_STOCK,"[{""key"": ""origin"", ""value"": {""text"": [""北海道産""]}}, {""key"": ""unit"", ""value"": {""text"": [""2切""]}}, {""key"": ""nutrition_calories"", ""value"": {""text"": [""133 kcal""]}}, {""key"": ""nutrition_protein"", ""value"": {""text"": [""22.3 g""]}}, {""key"": ""nutrition_fat"", ""value"": {""text"": [""4.1 g""]}}, {""key"": ""nutrition_carbs"", ""value"": {""text"": [""0.1 g""]}}]"
12,静岡県産 炭火焼きかつおのたたき,"[""鮮魚"", ""seafood""]",黒潮に乗って北上する新鮮な鰹を、伝統の炭火焼き製法でたたきに仕上げました。香ばしい皮目と濃厚な赤身をお楽しみください。,"{""currencyCode"": ""JPY"", ""price"": 980.0, ""originalPrice"": 980.0}","[{""uri"": ""https://images.unsplash.com/photo-1546069901-ba9599a7e63c?w=600&auto=format&fit=crop&q=80""}]","{""averageRating"": 4.8, ""ratingCount"": 36}",IN_STOCK,"[{""key"": ""origin"", ""value"": {""text"": [""静岡県産""]}}, {""key"": ""unit"", ""value"": {""text"": [""1パック（スライス済・約200g）""]}}, {""key"": ""nutrition_calories"", ""value"": {""text"": [""165 kcal""]}}, {""key"": ""nutrition_protein"", ""value"": {""text"": [""25.0 g""]}}, {""key"": ""nutrition_fat"", ""value"": {""text"": [""6.2 g""]}}, {""key"": ""nutrition_carbs"", ""value"": {""text"": [""0.2 g""]}}]"
13,宮媛県産 活け締め真鯛のサク,"[""鮮魚"", ""seafood""]",愛媛の澄んだ海で育ち、活け締めされた新鮮な真鯛。透明感のある上品な白身は、お刺身やカルパッチョに最適です。,"{""currencyCode"": ""JPY"", ""price"": 1380.0, ""originalPrice"": 1380.0}","[{""uri"": ""https://images.unsplash.com/photo-1534482421-64566f976cfa?w=600&auto=format&fit=crop&q=80""}]","{""averageRating"": 4.9, ""ratingCount"": 19}",IN_STOCK,"[{""key"": ""origin"", ""value"": {""text"": [""愛媛県産""]}}, {""key"": ""unit"", ""value"": {""text"": [""1本（約150g）""]}}, {""key"": ""nutrition_calories"", ""value"": {""text"": [""142 kcal""]}}, {""key"": ""nutrition_protein"", ""value"": {""text"": [""21.7 g""]}}, {""key"": ""nutrition_fat"", ""value"": {""text"": [""5.8 g""]}}, {""key"": ""nutrition_carbs"", ""value"": {""text"": [""0.1 g""]}}]"
14,北海道十勝 濃厚プレミアム牛乳,"[""乳製品"", ""dairy""]",十勝ののびのびとした環境で育った牛から絞られた特選低温殺菌牛乳。まるで生クリームのような濃厚なコクとすっきりとした後味が両立しています。,"{""currencyCode"": ""JPY"", ""price"": 360.0, ""originalPrice"": 360.0}","[{""uri"": ""https://images.unsplash.com/photo-1563636619-e9143da7973b?w=600&auto=format&fit=crop&q=80""}]","{""averageRating"": 4.8, ""ratingCount"": 59}",IN_STOCK,"[{""key"": ""origin"", ""value"": {""text"": [""北海道産""]}}, {""key"": ""unit"", ""value"": {""text"": [""1000ml""]}}, {""key"": ""nutrition_calories"", ""value"": {""text"": [""67 kcal (per 100ml)""]}}, {""key"": ""nutrition_protein"", ""value"": {""text"": [""3.4 g""]}}, {""key"": ""nutrition_fat"", ""value"": {""text"": [""3.8 g""]}}, {""key"": ""nutrition_carbs"", ""value"": {""text"": [""4.8 g""]}}]"
15,信州高原 豊かな森の平飼い卵,"[""乳製品"", ""dairy""]",平飼いでのびのび運動し、自然の餌をたくさん食べた鶏から生まれた健康的な卵。黄身が非常に濃厚で、卵かけご飯にすると違いがよくわかります。,"{""currencyCode"": ""JPY"", ""price"": 498.0, ""originalPrice"": 498.0}","[{""uri"": ""https://images.unsplash.com/photo-1506976785307-8732e854ad03?w=600&auto=format&fit=crop&q=80""}]","{""averageRating"": 4.9, ""ratingCount"": 74}",IN_STOCK,"[{""key"": ""origin"", ""value"": {""text"": [""長野県産""]}}, {""key"": ""unit"", ""value"": {""text"": [""1パック（10個入）""]}}, {""key"": ""nutrition_calories"", ""value"": {""text"": [""91 kcal (per egg)""]}}, {""key"": ""nutrition_protein"", ""value"": {""text"": [""7.4 g""]}}, {""key"": ""nutrition_fat"", ""value"": {""text"": [""6.5 g""]}}, {""key"": ""nutrition_carbs"", ""value"": {""text"": [""0.2 g""]}}]"
16,ギリシャ風 砂糖不使用オーガニックヨーグルト,"[""乳製品"", ""dairy""]",水切り製法でじっくりと濃縮された、もったり濃厚なギリシャヨーグルト。無糖でありながらクリーミーな口当たりで、果物や蜂蜜と相性抜群です。,"{""currencyCode"": ""JPY"", ""price"": 398.0, ""originalPrice"": 398.0}","[{""uri"": ""https://images.unsplash.com/photo-1488477181946-6428a0291777?w=600&auto=format&fit=crop&q=80""}]","{""averageRating"": 4.7, ""ratingCount"": 42}",IN_STOCK,"[{""key"": ""origin"", ""value"": {""text"": [""国産""]}}, {""key"": ""unit"", ""value"": {""text"": [""400g""]}}, {""key"": ""nutrition_calories"", ""value"": {""text"": [""95 kcal (per 100g)""]}}, {""key"": ""nutrition_protein"", ""value"": {""text"": [""8.2 g""]}}, {""key"": ""nutrition_fat"", ""value"": {""text"": [""4.5 g""]}}, {""key"": ""nutrition_carbs"", ""value"": {""text"": [""3.8 g""]}}]"
17,焼き立て天然酵母のクロワッサン,"[""パン"", ""bakery""]",フランス産AOPバターを贅沢に織り込んだ天然酵母のクロワッサン。外はサクサク、中はしっとりとした極上の食感と芳醇なバターの香りが広がります。,"{""currencyCode"": ""JPY"", ""price"": 320.0, ""originalPrice"": 320.0}","[{""uri"": ""https://images.unsplash.com/photo-1555507036-ab1f4038808a?w=600&auto=format&fit=crop&q=80""}]","{""averageRating"": 4.9, ""ratingCount"": 88}",IN_STOCK,"[{""key"": ""origin"", ""value"": {""text"": [""自家製 (店内で焼き上げ)""]}}, {""key"": ""unit"", ""value"": {""text"": [""1袋（2個入）""]}}, {""key"": ""nutrition_calories"", ""value"": {""text"": [""280 kcal (per piece)""]}}, {""key"": ""nutrition_protein"", ""value"": {""text"": [""4.5 g""]}}, {""key"": ""nutrition_fat"", ""value"": {""text"": [""16.8 g""]}}, {""key"": ""nutrition_carbs"", ""value"": {""text"": [""27.5 g""]}}]"
18,信州産小麦 プレミアム生食パン,"[""パン"", ""bakery""]",信州産小麦と北海道産生クリームを使用し、耳まで柔らかく仕上げた最高級生食パン。まずはトーストせずに、そのままちぎって召し上がりください。,"{""currencyCode"": ""JPY"", ""price"": 650.0, ""originalPrice"": 650.0}","[{""uri"": ""https://images.unsplash.com/photo-1509440159596-0249088772ff?w=600&auto=format&fit=crop&q=80""}]","{""averageRating"": 4.8, ""ratingCount"": 61}",IN_STOCK,"[{""key"": ""origin"", ""value"": {""text"": [""自家製 (店内で焼き上げ)""]}}, {""key"": ""unit"", ""value"": {""text"": [""1本（2斤）""]}}, {""key"": ""nutrition_calories"", ""value"": {""text"": [""264 kcal (per 100g)""]}}, {""key"": ""nutrition_protein"", ""value"": {""text"": [""7.8 g""]}}, {""key"": ""nutrition_fat"", ""value"": {""text"": [""4.2 g""]}}, {""key"": ""nutrition_carbs"", ""value"": {""text"": [""48.2 g""]}}]"
19,オーガニック全粒粉のカンパーニュ,"[""パン"", ""bakery""]",石窯で焼き上げた、有機全粒粉の本格的カンパーニュ。噛むほどに広がる酸味と小麦本来の素朴な香ばしさは、チーズやワインに完璧にマッチします。,"{""currencyCode"": ""JPY"", ""price"": 520.0, ""originalPrice"": 520.0}","[{""uri"": ""https://images.unsplash.com/photo-1549931319-a545dcf3bc73?w=600&auto=format&fit=crop&q=80""}]","{""averageRating"": 4.6, ""ratingCount"": 23}",IN_STOCK,"[{""key"": ""origin"", ""value"": {""text"": [""自家製 (店内で焼き上げ)""]}}, {""key"": ""unit"", ""value"": {""text"": [""1個（ハーフサイズ）""]}}, {""key"": ""nutrition_calories"", ""value"": {""text"": [""220 kcal (per 100g)""]}}, {""key"": ""nutrition_protein"", ""value"": {""text"": [""8.5 g""]}}, {""key"": ""nutrition_fat"", ""value"": {""text"": [""1.2 g""]}}, {""key"": ""nutrition_carbs"", ""value"": {""text"": [""45.0 g""]}}]"
20,静岡手摘み 特選一番煎茶（有機）,"[""飲料"", ""beverages""]",静岡の契約茶園で手摘みされた特選の有機一番茶。まろやかな甘みと澄んだ美しい深緑、豊かな香りが心安らぐ時間を演出します。,"{""currencyCode"": ""JPY"", ""price"": 1200.0, ""originalPrice"": 1200.0}","[{""uri"": ""https://images.unsplash.com/photo-1576092768241-dec231879fc3?w=600&auto=format&fit=crop&q=80""}]","{""averageRating"": 4.7, ""ratingCount"": 19}",IN_STOCK,"[{""key"": ""origin"", ""value"": {""text"": [""静岡県産""]}}, {""key"": ""unit"", ""value"": {""text"": [""1袋（100g）""]}}, {""key"": ""nutrition_calories"", ""value"": {""text"": [""0 kcal""]}}, {""key"": ""nutrition_protein"", ""value"": {""text"": [""0.0 g""]}}, {""key"": ""nutrition_fat"", ""value"": {""text"": [""0.0 g""]}}, {""key"": ""nutrition_carbs"", ""value"": {""text"": [""0.0 g""]}}]"
21,エチオピア・イルガチェフェ シングルオリジン珈琲（豆）,"[""飲料"", ""beverages""]",エチオピアのイルガチェフェ地区で栽培された、フローラルな香りが特徴の高級コーヒー。上品な酸味と、紅茶を思わせる華やかな余韻をお楽しみいただけます。,"{""currencyCode"": ""JPY"", ""price"": 1580.0, ""originalPrice"": 1580.0}","[{""uri"": ""https://images.unsplash.com/photo-1447933601403-0c6688de566e?w=600&auto=format&fit=crop&q=80""}]","{""averageRating"": 4.9, ""ratingCount"": 45}",IN_STOCK,"[{""key"": ""origin"", ""value"": {""text"": [""エチオピア産""]}}, {""key"": ""unit"", ""value"": {""text"": [""1袋（200g）""]}}, {""key"": ""nutrition_calories"", ""value"": {""text"": [""4 kcal (per cup)""]}}, {""key"": ""nutrition_protein"", ""value"": {""text"": [""0.2 g""]}}, {""key"": ""nutrition_fat"", ""value"": {""text"": [""0.1 g""]}}, {""key"": ""nutrition_carbs"", ""value"": {""text"": [""0.7 g""]}}]"
22,南アルプス 氷河伏流水天然水,"[""飲料"", ""beverages""]",南アルプスの何層もの地層で磨かれた、清らかな硬度約30の極軟水。すっきりクリアで体にしみわたる美味しさです。,"{""currencyCode"": ""JPY"", ""price"": 120.0, ""originalPrice"": 120.0}","[{""uri"": ""https://images.unsplash.com/photo-1548919973-5cef591cdbc9?w=600&auto=format&fit=crop&q=80""}]","{""averageRating"": 4.8, ""ratingCount"": 82}",IN_STOCK,"[{""key"": ""origin"", ""value"": {""text"": [""山梨県産""]}}, {""key"": ""unit"", ""value"": {""text"": [""500ml""]}}, {""key"": ""nutrition_calories"", ""value"": {""text"": [""0 kcal""]}}, {""key"": ""nutrition_protein"", ""value"": {""text"": [""0.0 g""]}}, {""key"": ""nutrition_fat"", ""value"": {""text"": [""0.0 g""]}}, {""key"": ""nutrition_carbs"", ""value"": {""text"": [""0.0 g""]}}]"
23,コールドプレス 100%オーガニックオレンジ,"[""飲料"", ""beverages""]",熱を加えずに摩擦を最小限に抑えて圧搾したコールドプレスジュース。オレンジが持つビタミンCや酵素をそのまま補給でき、爽やかでジューシーです。,"{""currencyCode"": ""JPY"", ""price"": 680.0, ""originalPrice"": 680.0}","[{""uri"": ""https://images.unsplash.com/photo-1613478223719-2ab802602423?w=600&auto=format&fit=crop&q=80""}]","{""averageRating"": 4.7, ""ratingCount"": 30}",IN_STOCK,"[{""key"": ""origin"", ""value"": {""text"": [""国産""]}}, {""key"": ""unit"", ""value"": {""text"": [""1本（250ml）""]}}, {""key"": ""nutrition_calories"", ""value"": {""text"": [""110 kcal""]}}, {""key"": ""nutrition_protein"", ""value"": {""text"": [""1.8 g""]}}, {""key"": ""nutrition_fat"", ""value"": {""text"": [""0.2 g""]}}, {""key"": ""nutrition_carbs"", ""value"": {""text"": [""25.2 g""]}}]"
24,新潟県魚沼産 特選有機コシヒカリ,"[""調味料"", ""pantry""]",豪雪地帯である魚沼の冷たい雪解け水で育まれた特撰のコシヒカリ。ふっくらとモチモチした食感で、強い甘みとツヤが格別なお米です。,"{""currencyCode"": ""JPY"", ""price"": 3980.0, ""originalPrice"": 3980.0}","[{""uri"": ""https://images.unsplash.com/photo-1611143669185-af224c5e3252?w=600&auto=format&fit=crop&q=80""}]","{""averageRating"": 5.0, ""ratingCount"": 93}",IN_STOCK,"[{""key"": ""origin"", ""value"": {""text"": [""新潟県産""]}}, {""key"": ""unit"", ""value"": {""text"": [""5kg""]}}, {""key"": ""nutrition_calories"", ""value"": {""text"": [""168 kcal (per 100g cooked)""]}}, {""key"": ""nutrition_protein"", ""value"": {""text"": [""2.5 g""]}}, {""key"": ""nutrition_fat"", ""value"": {""text"": [""0.3 g""]}}, {""key"": ""nutrition_carbs"", ""value"": {""text"": [""37.1 g""]}}]"
25,伝統木桶仕込み 天然醸造特選醤油,"[""調味料"", ""pantry""]",香川県小豆島で、100年以上使われている木桶の中で二夏じっくり熟成させた天然醸造の生醤油。驚くほどまろやかでコクがあり、お刺身や焼き魚に最適です。,"{""currencyCode"": ""JPY"", ""price"": 850.0, ""originalPrice"": 850.0}","[{""uri"": ""https://images.unsplash.com/photo-1579871494447-9811cf80d66c?w=600&auto=format&fit=crop&q=80""}]","{""averageRating"": 4.9, ""ratingCount"": 38}",IN_STOCK,"[{""key"": ""origin"", ""value"": {""text"": [""香川県産""]}}, {""key"": ""unit"", ""value"": {""text"": [""1本（360ml）""]}}, {""key"": ""nutrition_calories"", ""value"": {""text"": [""13 kcal (per 15ml)""]}}, {""key"": ""nutrition_protein"", ""value"": {""text"": [""1.5 g""]}}, {""key"": ""nutrition_fat"", ""value"": {""text"": [""0.0 g""]}}, {""key"": ""nutrition_carbs"", ""value"": {""text"": [""1.2 g""]}}]"
26,シチリア島直輸入 エキストラバージンオリーブオイル,"[""調味料"", ""pantry""]",シチリア島で手摘み収穫後すぐに冷温圧搾された、新鮮でフルーティーなオリーブオイル。青リンゴやハーブを思わせる爽やかな香りとスパイシーな余韻が際立ちます。,"{""currencyCode"": ""JPY"", ""price"": 2480.0, ""originalPrice"": 2480.0}","[{""uri"": ""https://images.unsplash.com/photo-1474979266404-7eaacbcd87c5?w=600&auto=format&fit=crop&q=80""}]","{""averageRating"": 4.8, ""ratingCount"": 27}",IN_STOCK,"[{""key"": ""origin"", ""value"": {""text"": [""イタリア・シチリア島産""]}}, {""key"": ""unit"", ""value"": {""text"": [""1本（500ml）""]}}, {""key"": ""nutrition_calories"", ""value"": {""text"": [""120 kcal (per 14g)""]}}, {""key"": ""nutrition_protein"", ""value"": {""text"": [""0.0 g""]}}, {""key"": ""nutrition_fat"", ""value"": {""text"": [""14.0 g""]}}, {""key"": ""nutrition_carbs"", ""value"": {""text"": [""0.0 g""]}}]"
27,信州・八ヶ岳 アカシア極上純粋蜂蜜,"[""調味料"", ""pantry""]",八ヶ岳の豊かな自然の中で育つアカシアの花から集められた、無添加・非加熱の純粋はちみつ。上品でクセのない甘みと透明感は、ヨーグルトや紅茶にピッタリです。,"{""currencyCode"": ""JPY"", ""price"": 1890.0, ""originalPrice"": 1890.0}","[{""uri"": ""https://images.unsplash.com/photo-1448062885262-aa6670248b0e?w=600&auto=format&fit=crop&q=80""}]","{""averageRating"": 4.9, ""ratingCount"": 33}",IN_STOCK,"[{""key"": ""origin"", ""value"": {""text"": [""長野県産""]}}, {""key"": ""unit"", ""value"": {""text"": [""1本（250g）""]}}, {""key"": ""nutrition_calories"", ""value"": {""text"": [""294 kcal (per 100g)""]}}, {""key"": ""nutrition_protein"", ""value"": {""text"": [""0.2 g""]}}, {""key"": ""nutrition_fat"", ""value"": {""text"": [""0.0 g""]}}, {""key"": ""nutrition_carbs"", ""value"": {""text"": [""79.7 g""]}}]"
28,北海道産 無添加完熟かぼちゃポタージュ,"[""調味料"", ""pantry""]",北海道で収穫された甘みの強い完熟かぼちゃを贅沢に使用し、牛乳とバターだけで仕上げた無添加スープ。コクと甘みが濃密で、心温まる一杯です。,"{""currencyCode"": ""JPY"", ""price"": 420.0, ""originalPrice"": 420.0}","[{""uri"": ""https://images.unsplash.com/photo-1476718406336-bb5a9690ee2a?w=600&auto=format&fit=crop&q=80""}]","{""averageRating"": 4.6, ""ratingCount"": 20}",OUT_OF_STOCK,"[{""key"": ""origin"", ""value"": {""text"": [""北海道産""]}}, {""key"": ""unit"", ""value"": {""text"": [""1袋（180g）""]}}, {""key"": ""nutrition_calories"", ""value"": {""text"": [""148 kcal""]}}, {""key"": ""nutrition_protein"", ""value"": {""text"": [""2.4 g""]}}, {""key"": ""nutrition_fat"", ""value"": {""text"": [""6.8 g""]}}, {""key"": ""nutrition_carbs"", ""value"": {""text"": [""19.5 g""]}}]"
